------------------------------------ 
PARAMETERS used: 
 - POPULATION SIZE (parents): '200'
 - NUMBER OF KIDS: '400'
 - SIZE TOURNAMENT: '5'
 - DNA SIZE: '4'
------------------------------------ 


------------------------------------ 
Fitness_value		Individual
------------------------------------ 
 707.552860707			array([ 15.88554848, -11.44006561,  21.52147686,   4.08679474])
						array([30.32299258, 25.39794646, 14.71610332,  8.58143461])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

 52.2381209002			array([12.12501011,  5.42078665,  1.85256678, -0.95214617])
						array([195.6161292 ,  15.88507689, 118.70540591, 141.89365052])

