------------------------------------ 
PARAMETERS used: 
 - POPULATION SIZE (parents): '200'
 - NUMBER OF KIDS: '250'
 - SIZE TOURNAMENT: '5'
 - DNA SIZE: '4'
------------------------------------ 


------------------------------------ 
Fitness_value		Individual
------------------------------------ 
 1159.27849718			array([ 29.02976715,   1.27797789, -10.25235433,  25.23188679])
						array([ 71.05101253, 225.21792885, 147.52915838,  18.55905284])

 1159.27849718			array([ 29.02976715,   1.27797789, -10.25235433,  25.23188679])
						array([ 71.05101253, 225.21792885, 147.52915838,  18.55905284])

 1159.27849718			array([ 29.02976715,   1.27797789, -10.25235433,  25.23188679])
						array([ 71.05101253, 225.21792885, 147.52915838,  18.55905284])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

 473.668849403			array([25.77311381, 11.65281987,  0.32795712, 13.04706449])
						array([  7.02596355, 144.32163443,  92.86814161, 466.91574909])

